 ────────────────────────────────────────────────────────────────────────────────
                                        Time                    Allocations      
                               ───────────────────────   ────────────────────────
       Tot / % measured:            10.2h /   0.5%            189GiB /   8.9%    

 Section               ncalls     time    %tot     avg     alloc    %tot      avg
 ────────────────────────────────────────────────────────────────────────────────
 WholeFacility              1     151s   77.4%    151s   10.1GiB   59.8%  10.1GiB
   EquilibriumTrans...      1     110s   56.4%    110s   3.85GiB   22.8%  3.85GiB
     Equilibrium            3    68.7s   35.2%   22.9s   2.59GiB   15.4%   886MiB
       TEQUILA              3    68.5s   35.1%   22.8s   2.58GiB   15.3%   881MiB
     HCD                    4    642ms    0.3%   161ms   2.80MiB    0.0%   716KiB
       ECsimple             4   7.62ms    0.0%  1.90ms    355KiB    0.0%  88.7KiB
       LHsimple             4    443μs    0.0%   111μs   30.2KiB    0.0%  7.56KiB
       ICsimple             4    424μs    0.0%   106μs   30.2KiB    0.0%  7.56KiB
       NBsimple             4    410μs    0.0%   103μs   30.2KiB    0.0%  7.55KiB
     Current                4    612ms    0.3%   153ms   24.5MiB    0.1%  6.13MiB
       SteadyStateC...      4    448ms    0.2%   112ms   23.9MiB    0.1%  5.97MiB
     CoreTransport          3    377ms    0.2%   126ms   2.51MiB    0.0%   855KiB
       FixedProfiles        3    254ms    0.1%  84.8ms   2.06MiB    0.0%   703KiB
         Pedestal           3   4.63ms    0.0%  1.54ms    514KiB    0.0%   171KiB
   HFSsizing                1    13.3s    6.8%   13.3s   3.04GiB   18.0%  3.04GiB
     Stresses               1   13.5ms    0.0%  13.5ms   3.09MiB    0.0%  3.09MiB
     FluxSwing              1    774μs    0.0%   774μs    161KiB    0.0%   161KiB
   Blanket                  1    4.79s    2.5%   4.79s    704MiB    4.1%   704MiB
     CXbuild                1    1.68s    0.9%   1.68s    122MiB    0.7%   122MiB
   CXbuild                  2    3.83s    2.0%   1.92s    276MiB    1.6%   138MiB
   PFcoilsOpt               2    922ms    0.5%   461ms    657MiB    3.8%   329MiB
   Neutronics               1    302ms    0.2%   302ms   13.8MiB    0.1%  13.8MiB
   BalanceOfPlant           1    267ms    0.1%   267ms   2.36MiB    0.0%  2.36MiB
     ThermalCycle           1   20.6ms    0.0%  20.6ms   0.96MiB    0.0%  0.96MiB
     PowerNeeds             1   4.56ms    0.0%  4.56ms    342KiB    0.0%   342KiB
     HeatTransfer           1   3.24ms    0.0%  3.24ms    180KiB    0.0%   180KiB
   Costing                  1   99.3ms    0.1%  99.3ms   23.0MiB    0.1%  23.0MiB
     GASCCosting            1   58.9ms    0.0%  58.9ms   22.9MiB    0.1%  22.9MiB
   PassiveStructures        1   90.7ms    0.0%  90.7ms   6.70MiB    0.0%  6.70MiB
   Divertors                1   28.2ms    0.0%  28.2ms   7.31MiB    0.0%  7.31MiB
   LFSsizing                1   8.28ms    0.0%  8.28ms   2.28MiB    0.0%  2.28MiB
   StabilityLimits          1   6.30ms    0.0%  6.30ms   64.1KiB    0.0%  64.1KiB
 init                       1    44.0s   22.6%   44.0s   6.77GiB   40.2%  6.77GiB
   init_equilibrium         1    39.2s   20.1%   39.2s   6.56GiB   38.9%  6.56GiB
     Equilibrium            1    22.1s   11.3%   22.1s    896MiB    5.2%   896MiB
       TEQUILA              1    21.7s   11.1%   21.7s    879MiB    5.1%   879MiB
   init_build               1    2.93s    1.5%   2.93s    180MiB    1.0%   180MiB
     CXbuild                1    2.84s    1.5%   2.84s    179MiB    1.0%   179MiB
   init_pf_active           1    1.31s    0.7%   1.31s   14.0MiB    0.1%  14.0MiB
   init_core_sources        1    440ms    0.2%   440ms   11.3MiB    0.1%  11.3MiB
     HCD                    1    166ms    0.1%   166ms    733KiB    0.0%   733KiB
       ECsimple             1   3.01ms    0.0%  3.01ms   99.2KiB    0.0%  99.2KiB
       NBsimple             1    124μs    0.0%   124μs   6.23KiB    0.0%  6.23KiB
       ICsimple             1    124μs    0.0%   124μs   6.25KiB    0.0%  6.25KiB
       LHsimple             1    109μs    0.0%   109μs   6.25KiB    0.0%  6.25KiB
   init_currents            1    140ms    0.1%   140ms   7.41MiB    0.0%  7.41MiB
     SteadyStateCur...      1   58.2ms    0.0%  58.2ms   6.95MiB    0.0%  6.95MiB
   init_core_profiles       1   5.86ms    0.0%  5.86ms    476KiB    0.0%   476KiB
   init_missing_fro...      1   33.3μs    0.0%  33.3μs   3.72KiB    0.0%  3.72KiB
 ────────────────────────────────────────────────────────────────────────────────
